,Название фильмы и год выпуска,Описание,О фильме
56,Стражи Галактики (2014),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, приключения, комедия ...
 Страна -  США 
 В ролях -  Крис Пратт, Зои Салдана, Дэйв Батиста, Брэдли Купер, Вин ...
   Отважному путешественнику Питеру Квиллу попадает в руки таинственный артефакт, принадлежащий могущественному и безжалостному злодею Ронану, строящему коварные планы по захвату Вселенной. Питер оказывается в
"
57,Гладиатор (2000),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  история, боевик, драма, приключения ...
 Страна -  США, Великобритания, Мальта, Марокко 
 В ролях -  Рассел Кроу, Хоакин Феникс, Конни Нильсен, Оливер Рид, ...
   В великой Римской империи не было военачальника, равного генералу Максимусу. Непобедимые легионы, которыми командовал этот благородный воин, боготворили его и могли последовать за ним даже в ад. Но случилось
"
58,Леон (1994),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, триллер, драма, криминал ...
 Страна -  Франция, США 
 В ролях -  Жан Рено, Натали Портман, Гари Олдман, Дэнни Айелло, Питер ...
   Профессиональный убийца Леон неожиданно для себя самого решает помочь 12-летней соседке Матильде, семью которой убили коррумпированные полицейские....
"
59,Престиж (2006),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, фантастика, драма, детектив ...
 Страна -  Великобритания, США 
 В ролях -  Хью Джекман, Кристиан Бэйл, Майкл Кейн, Пайпер Перабо, ...
   Роберт и Альфред - фокусники-иллюзионисты, которые на рубеже XIX и XX веков соперничали друг с другом в Лондоне. С годами их дружеская конкуренция на профессиональной почве перерастает в настоящую войну. Они
"
60,Ford против Ferrari (2019),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  биография, спорт, драма, боевик ...
 Страна -  США 
 В ролях -  Кристиан Бэйл, Мэтт Дэймон, Катрина Балф, Трэйси Леттс, ...
   В начале 1960-х Генри Форд II принимает решение улучшить имидж компании и сменить курс на производство более модных автомобилей. После неудавшейся попытки купить практически банкрота Ferrari американцы решают
"
61,Джокер (2019),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, криминал, триллер ...
 Страна -  США, Канада 
 В ролях -  Хоакин Феникс, Роберт Де Ниро, Зази Битц, Фрэнсис Конрой, ...
   Готэм, начало 1980-х годов. Комик Артур Флек живет с больной матерью, которая с детства учит его «ходить с улыбкой». Пытаясь нести в мир хорошее и дарить людям радость, Артур сталкивается с человеческой
"
62,В бой идут одни «старики» (1973),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  военный, драма, комедия ...
 Страна -  СССР 
 В ролях -  Леонид Быков, Сергей Подгорный, Сергей Иванов, Рустам ...
   Эта эскадрилья стала «поющей» - так капитан Титаренко подбирал себе новичков. Его «старикам» было не больше двадцати, но «желторотиков», пополнение из летных училищ ускоренного выпуска, в бой все равно, по
"
63,Легенда №17 (2012),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  биография, спорт, драма ...
 Страна -  Россия 
 В ролях -  Данила Козловский, Олег Меньшиков, Светлана Иванова, ...
   История жизни хоккеиста Валерия Харламова....
"
64,Темный рыцарь (2008),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, триллер, криминал, драма ...
 Страна -  США, Великобритания 
 В ролях -  Кристиан Бэйл, Хит Леджер, Аарон Экхарт, Мэгги Джилленхол, ...
   Бэтмен поднимает ставки в войне с криминалом. С помощью лейтенанта Джима Гордона и прокурора Харви Дента он намерен очистить улицы Готэма от преступности. Сотрудничество оказывается эффективным, но скоро они
"
65,Люди в чёрном (1997),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, комедия, приключения ...
 Страна -  США 
 В ролях -  Томми Ли Джонс, Уилл Смит, Линда Фиорентино, Винсент ...
   Они - самый большой секрет Земли. Они работают на неофициальное правительственное агентство, регулирующее деятельность инопланетян на Земле. Они - это лучшая, последняя и единственная линия защиты Земли от
"
66,Терминал (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, мелодрама, комедия ...
 Страна -  США 
 В ролях -  Том Хэнкс, Кэтрин Зета-Джонс, Стэнли Туччи, Чи МакБрайд, ...
   Фильм рассказывает историю Виктора Наворски, отправившегося в Нью-Йорк из Восточной Европы. Пока Виктор летел в самолете, на его родине произошел государственный переворот. Оказавшись в международном аэропорту
"
67,Американская история X (1998),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  США 
 В ролях -  Эдвард Нортон, Эдвард Ферлонг, Беверли Д'Анджело, Дженнифер ...
   Лидер местной банды скинхедов Дерек Виньярд прочно удерживает авторитет в своём районе. Убеждённый в своей правоте, он беспощадно расправляется с теми, кто имеет не белый цвет кожи. Независимость и смелость
"
68,Такси (1998),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, комедия, криминал ...
 Страна -  Франция 
 В ролях -  Сами Насери, Фредерик Дифенталь, Марион Котийяр, Эмма ...
   Таксист Даниэль помешан на быстрой езде. Как ураган проносится он по извилистым улицам Марселя на мощном ревущем «Пежо», пугая прохожих и приводя в ужас пассажиров. Начинающий следователь Эмильен вынуждает его
"
69,Амели (2001),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, комедия ...
 Страна -  Франция, Германия 
 В ролях -  Одри Тоту, Матьё Кассовиц, Рюфюс, Лорелла Кравотта, Серж ...
   Знаете ли вы, что все события, происходящие в нашем мире, даже самые незначительные, взаимосвязаны самым удивительным и чудесным образом? Как полет крошечной мухи может вызвать где-то далеко мощный ураган, так
"
70,Бешеные псы (1991),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  криминал, драма, триллер ...
 Страна -  США 
 В ролях -  Харви Кейтель, Тим Рот, Майкл Мэдсен, Крис Пенн, Стив ...
   Это должно было стать идеальным преступлением. Задумав ограбить ювелирный магазин, криминальный босс Джо Кэбот собрал вместе шестерых опытных и совершенно незнакомых друг с другом преступников. Но с самого
"
71,Парфюмер: История одного убийцы (2006),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, драма, криминал ...
 Страна -  Германия, Франция, Испания, США 
 В ролях -  Бен Уишоу, Дастин Хоффман, Алан Рикман, Рейчел Херд-Вуд, ...
   Жестокий, никогда не знавший любви, сирота Жан-Батист Гренуй настоящих успехов достиг лишь на одном поприще – среди парфюмеров ему никогда не было равных. По его духам сходит с ума весь высший свет, не
"
72,От заката до рассвета (1995),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  ужасы, боевик, фэнтези, триллер, комедия, криминал ...
 Страна -  США, Мексика 
 В ролях -  Джордж Клуни, Квентин Тарантино, Харви Кейтель, Джульетт ...
   Спасаясь от полиции после ограбления банка, два брата - грабителя берут в заложники священника и его детей. Около американской границы они решают провести ночь в придорожном баре. Тут-то всё и начинается......
"
73,Робот по имени Чаппи (2015),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, триллер, драма, криминал ...
 Страна -  США, ЮАР 
 В ролях -  Шарлто Копли, Дев Патель, Ниндзя, Йоланди Фиссер, Хосе ...
   Чаппи - вундеркинд. Как и любой другой ребенок, он попадает под влияние своего окружения, и только его сердце и душа помогут ему найти свой путь. Но есть одна вещь, которая делает Чаппи непохожим на всех
"
74,Джуманджи (1995),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, комедия, приключения, семейный ...
 Страна -  США 
 В ролях -  Робин Уильямс, Бонни Хант, Кирстен Данст, Брэдли Пирс, Биби ...
   Случайно обнаружив настольную игру со странным названием «Джуманджи», Алан Пэрриш на глазах изумленной подружки перенёсся в джунгли. Он находился в этом мире до тех пор, пока двое ни о чем не подозревающих
"
75,Реальные упыри (2014),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, ужасы ...
 Страна -  Новая Зеландия 
 В ролях -  Джемейн Клемент, Тайка Вайтити, Джонатан Бруг, Кори ...
   История жизни Виаго, Дикона и Владислава - трёх соседей и по совместительству бессмертных вампиров, которые всего лишь пытаются выжить в современном мире, где есть арендная плата, фейсконтроль в ночных клубах,
"
76,Жизнь Дэвида Гейла (2002),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, драма, криминал ...
 Страна -  Великобритания, Германия, Испания, США 
 В ролях -  Кевин Спейси, Кейт Уинслет, Лора Линни, Гэбриел Манн, Мэтт ...
   Дэвид Гейл - человек, который пробовал жить в соответствии со своими принципами, но, в причудливом повороте судьбы, этот преданный отец, популярный профессор и ярый противник смертной казни окажется в камере
"
77,Чудо (2017),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, семейный ...
 Страна -  США, Гонконг, Канада 
 В ролях -  Джейкоб Тремблей, Оуэн Уилсон, Изабела Видович, Джулия ...
   С одной стороны мальчик Август Пулман такой же как и другие мальчишки его возраста - любит ходить на дни рождения к друзьям, играть в компьютерные игры, фанатеет от «Звездных войн», играет со своей собакой,
"
78,Самый пьяный округ в мире (2012),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, криминал, биография ...
 Страна -  США 
 В ролях -  Шайа ЛаБаф, Том Харди, Джейсон Кларк, Джессика Честейн, Гай ...
   Действие в картине разворачивается на американском Юге во времена сухого закона и Великой Депрессии. В центре сюжета – семья Бондурант, три брата, Джек, Форрест и Говард, которые занимаются запрещенным в то
"
79,Расплата (2016),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, триллер, драма, криминал ...
 Страна -  США 
 В ролях -  Бен Аффлек, Анна Кендрик, Дж.К. Симмонс, Джон Бернтал, ...
   Лента расскажет историю математического гения Кристиана Вульфа, который подрабатывает аудитором для самых опасных преступных организаций. Когда ему на хвост садится отдел по борьбе с преступностью Министерства
"
80,Каникулы строгого режима (2009),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, комедия, приключения ...
 Страна -  Россия 
 В ролях -  Сергей Безруков, Дмитрий Дюжев, Сабина Ахмедова, Алёна ...
   История о том, как двое не самых молодых людей, Кольцов и Сумароков, волею судьбы оказались вожатыми в пионерском лагере в компании в меру энергичного руководства и не в меру энергичных детей. Все бы ничего,
"
81,Географ глобус пропил (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  Россия 
 В ролях -  Константин Хабенский, Анфиса Черных, Елена Лядова, ...
   Молодой биолог Виктор Служкин от безденежья идет работать учителем географии в обычную пермскую школу. Он борется, а потом и дружит с учениками, конфликтует с завучем, ведет десятиклассников в поход -
"
82,Без лица (1997),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, триллер, криминал, фантастика ...
 Страна -  США 
 В ролях -  Джон Траволта, Николас Кейдж, Джоан Аллен, Алессандро ...
   Чтобы раскрыть подробности запланированного преступниками крупного теракта, агент ФБР Шон Арчер соглашается на сложную хирургическую операцию. Он берёт себе новое лицо, лицо террориста Кастора Троя, который
"
83,Другой мир (2003),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, боевик, триллер ...
 Страна -  США, Великобритания, Германия, Венгрия 
 В ролях -  Кейт Бекинсейл, Скотт Спидман, Майкл Шин, Шэйн Бролли, Билл ...
   Столетиями властители царства мрака, вампиры и оборотни ведут беспощадную войну, невидимую человеческому взору. Бесстрашная Селина, воин-вампир, каждую ночь истребляет оборотней, влекомая неутолимой жаждой
"
84,Жестокие игры (1999),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, мелодрама ...
 Страна -  США 
 В ролях -  Сара Мишель Геллар, Райан Филипп, Риз Уизерспун, Сэльма ...
   Себастьян знает сладкий привкус легких побед. В его руках - чужие тайны и ключи от неприступных спален. Катрин устала от простых интриг и банальных признаний. Тогда современный Казанова и скучающая красавица
"
85,Плохие парни (1995),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, комедия, триллер, криминал ...
 Страна -  США 
 В ролях -  Уилл Смит, Мартин Лоуренс, Теа Леони, Чеки Карио, Джо ...
   Они - полная противоположность друг друга. Один из них - примерный семьянин и не имеет состояния, другой богат и пользуется всеми благами холостяцкой жизни. Помимо дружбы их объединяет работа в полиции. Их
"
86,Достать ножи (2019),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  детектив, комедия, драма, криминал ...
 Страна -  США 
 В ролях -  Дэниэл Крэйг, Ана де Армас, Крис Эванс, Джейми Ли Кёртис, ...
   На следующее утро после празднования 85-летия известного автора криминальных романов Харлана Тромби виновника торжества находят мёртвым. Налицо - явное самоубийство, но полиция по протоколу опрашивает всех
"
87,Титаник (1997),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, история, триллер, драма ...
 Страна -  США 
 В ролях -  Леонардо ДиКаприо, Кейт Уинслет, Билли Зейн, Кэти Бейтс, ...
   В первом и последнем плавании шикарного «Титаника» встречаются двое. Пассажир нижней палубы Джек выиграл билет в карты, а богатая наследница Роза отправляется в Америку, чтобы выйти замуж по расчёту. Чувства
"
88,Дюна (2021),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, драма, приключения ...
 Страна -  США, Канада, Венгрия 
 В ролях -  Тимоти Шаламе, Ребекка Фергюсон, Оскар Айзек, Джош Бролин, ...
   Наследник знаменитого дома Атрейдесов Пол отправляется вместе с семьей на одну из самых опасных планет во Вселенной - Арракис. Здесь нет ничего, кроме песка, палящего солнца, гигантских чудовищ и основной
"
89,Шерлок Холмс (2009),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, приключения, триллер, драма, комедия, ...
 Страна -  США, Германия, Великобритания, Австралия 
 В ролях -  Роберт Дауни мл., Джуд Лоу, Рэйчел МакАдамс, Марк Стронг, ...
   Величайший в истории сыщик Шерлок Холмс вместе со своим верным соратником Ватсоном вступают в схватку, требующую нешуточной физической и умственной подготовки, ведь их враг представляет угрозу для всего
"
90,Железный человек (2008),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, приключения ...
 Страна -  США, Канада 
 В ролях -  Роберт Дауни мл., Джефф Бриджес, Гвинет Пэлтроу, Терренс ...
   Миллиардер-изобретатель Тони Старк попадает в плен к Афганским террористам, которые пытаются заставить его создать оружие массового поражения. В тайне от своих захватчиков Старк конструирует
"
91,Гарри Поттер и узник Азкабана (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, приключения, семейный ...
 Страна -  Великобритания, США 
 В ролях -  Дэниэл Рэдклифф, Руперт Гринт, Эмма Уотсон, Дэвид Тьюлис, ...
   В третьей части истории о юном волшебнике полюбившиеся всем герои - Гарри Поттер, Рон и Гермиона - возвращаются уже на третий курс школы чародейства и волшебства Хогвартс. На этот раз они должны раскрыть тайну
"
92,"Карты, деньги, два ствола (1998)",https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, комедия, криминал ...
 Страна -  Великобритания 
 В ролях -  Джейсон Флеминг, Декстер Флетчер, Ник Моран, Джейсон ...
   Четверо молодых парней накопили каждый по 25 тысяч фунтов, чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником, известным по кличке Гарри-Топор. Парень в итоге проиграл 500 тысяч, на
"
93,Тор: Рагнарёк (2017),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, фэнтези, боевик, комедия, приключения ...
 Страна -  США, Австралия 
 В ролях -  Крис Хемсворт, Том Хиддлстон, Кейт Бланшетт, Идрис Эльба, ...
   Вернувшись в Асгард в поисках таинственного врага, ведущего охоту на Камни Бесконечности, Тор обнаруживает, что действия его брата Локи, захватившего трон Асгарда, привели к приближению наиболее страшного
"
94,Игры разума (2001),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, биография, мелодрама ...
 Страна -  США 
 В ролях -  Рассел Кроу, Эд Харрис, Дженнифер Коннелли, Кристофер ...
   От всемирной известности до греховных глубин - все это познал на своей шкуре Джон Форбс Нэш-младший. Математический гений, он на заре своей карьеры сделал титаническую работу в области теории игр, которая
"
95,Девчата (1962),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, комедия ...
 Страна -  СССР 
 В ролях -  Надежда Румянцева, Николай Рыбников, Люсьена Овчинникова, ...
   В сибирский поселок приехала юная повариха Тося Кислицына - наивная и эксцентричная девчонка. Она сует свой нос во все дела, каждому стремится помочь. Местный красавец Илья на спор заводит с Тосей роман,
"
96,Вечное сияние чистого разума (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, фантастика, драма ...
 Страна -  США 
 В ролях -  Джим Керри, Кейт Уинслет, Кирстен Данст, Марк Руффало, ...
   Застенчивый и меланхоличный Джоэл живёт ничем не примечательной серой и унылой жизнью. Но однажды вместо привычного рабочего маршрута молодой человек вдруг садится на электричку в другом направлении и
"
97,Я - легенда (2007),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, триллер, драма, приключения ...
 Страна -  США 
 В ролях -  Уилл Смит, Алиси Брага, Чарли Тахэн, Салли ...
   Неизвестный вирус унёс жизни половины населения земного шара, а остальную половину превратил в вампиров. Единственный уцелевший человек с иммунитетом к заболеванию ночами держит осаду упырей, а днем пытается
"
98,Служебный роман (1977),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, комедия, драма ...
 Страна -  СССР 
 В ролях -  Андрей Мягков, Алиса Фрейндлих, Светлана Немоляева, Олег ...
   Анатолий Ефремович Новосельцев, рядовой служащий одного статистического управления - человек робкий и застенчивый. Ему хотелось бы получить вакантное место зав. отделом, но он не знает как подступиться к этому
"
99,Счастливое число Слевина (2005),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, драма, криминал ...
 Страна -  США, Канада, Великобритания, Германия 
 В ролях -  Джош Хартнетт, Брюс Уиллис, Люси Лью, Морган Фриман, Бен ...
   Слевину не везет. Дом опечатан, девушка ушла к другому… Его друг Ник уезжает из Нью-Йорка и предлагает Слевину пожить в пустой квартире. В это время крупный криминальный авторитет по прозвищу Босс хочет
"
100,Мстители: Эра Альтрона (2015),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, приключения ...
 Страна -  США 
 В ролях -  Роберт Дауни мл., Крис Хемсворт, Крис Эванс, Скарлетт ...
   Человечество на грани уничтожения. На этот раз людям угрожает Альтрон - искусственный интеллект, ранее созданный для того, чтобы защищать Землю от любых угроз. Однако, главной угрозой он посчитал человечество.
"
101,Один дома 2: Затерянный в Нью-Йорке (1992),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, семейный, приключения ...
 Страна -  США 
 В ролях -  Маколей Калкин, Джо Пеши, Дэниел Стерн, Тим Карри, Кэтрин ...
   Самый маленький герой Америки устраивает большой переполох в Нью-Йорке! Кевин МакКалистер вернулся! Но теперь он один не дома, а в Нью-Йорке и у него достаточно денег и кредитных карточек, чтобы превратить
"
102,Паразиты (2019),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, триллер, комедия ...
 Страна -  Корея Южная 
 В ролях -  Сон Кан-хо, Ли Сон-гюн, Чо Ё-джон, Чхве У-щик, Пак Со-дам, ...
   Обычное корейское семейство Кимов жизнь не балует. Приходится жить в сыром грязном полуподвале, воровать интернет у соседей и перебиваться случайными подработками. Однажды друг сына семейства, уезжая на
"
103,Хоббит: Нежданное путешествие (2012),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, приключения, боевик ...
 Страна -  Новая Зеландия, США 
 В ролях -  Мартин Фриман, Иэн Маккеллен, Ричард Армитедж, Джеймс ...
   Хоббит Бильбо Бэггинс пускается в грандиозный поход, целью которого является отвоевание утраченного королевства гномов Эребор у дракона Смауга. Совершенно неожиданно с хоббитом налаживает контакт волшебник
"
104,В погоне за счастьем (2006),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, биография ...
 Страна -  США 
 В ролях -  Уилл Смит, Джейден Смит, Тандиве Ньютон, Брайан Хау, Джеймс ...
   Крис Гарднер – отец-одиночка. Воспитывая пятилетнего сына, Крис изо всех сил старается сделать так, чтобы ребенок рос счастливым. Работая продавцом, он не может оплатить квартиру, и их выселяют. Оказавшись на
"
105,Еще по одной (2020),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, комедия ...
 Страна -  Дания, Швеция, Нидерланды 
 В ролях -  Мадс Миккельсен, Томас Бо Ларсен, Магнус Милланг, Ларс ...
   В ресторане собираются учитель истории, психологии, музыки и физрук, чтобы отметить 40-летие одного из них. И решают проверить научную теорию о том, что c самого рождения человек страдает от нехватки алкоголя
"
106,Укрощение строптивого (1980),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, комедия ...
 Страна -  Италия 
 В ролях -  Адриано Челентано, Орнелла Мути, Эдит Питерс, Пиппо ...
   Категорически не приемлющий женского общества грубоватый фермер вполне счастлив и доволен своей холостяцкой жизнью. Но неожиданно появившаяся в его жизни женщина пытается изменить его взгляды на жизнь и
"
107,Шерлок Холмс: Игра теней (2011),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, приключения, триллер, криминал, детектив ...
 Страна -  США, Великобритания 
 В ролях -  Роберт Дауни мл., Джуд Лоу, Нуми Рапас, Джаред Харрис, Пол ...
   1891 год. В Вене и Страсбурге проходит серия терактов, организованных анархистами или националистами, а по всей Европе происходят таинственные убийства. Шерлок Холмс считает, что за всем этим стоит профессор
"
108,Иллюзионист (2005),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, фэнтези, триллер, мелодрама, детектив ...
 Страна -  США, Чехия 
 В ролях -  Эдвард Нортон, Пол Джаматти, Джессика Бил, Руфус Сьюэлл, ...
   Вена. Начало 20 века. В городе появляется загадочный человек, называвший себя иллюзионистом Эйзенхаймом. Он показывает публике невиданные фокусы, которые кажутся не иначе как волшебством. Слава о
"
109,Терминатор (1984),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, триллер ...
 Страна -  Великобритания, США 
 В ролях -  Арнольд Шварценеггер, Майкл Бин, Линда Хэмилтон, Пол ...
   История противостояния солдата Кайла Риза и киборга-терминатора, прибывших в 1984-й год из пост-апокалиптического будущего, где миром правят машины-убийцы, а человечество находится на грани вымирания. Цель
"
110,Грязь (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  криминал, комедия, драма ...
 Страна -  Великобритания, Германия, Швеция, Бельгия, США 
 В ролях -  Джеймс МакЭвой, Джейми Белл, Эдди Марсан, Джим Бродбент, ...
   Главный герой - Брюс Робертсон, детектив-сержант сыскной полиции города Эдинбурга, стремящийся получить вакантную должность детектива-инспектора. Начальник Брюса Боб Тоал поручает ему руководство
"
111,Привидение (1990),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, фэнтези, триллер, драма ...
 Страна -  США 
 В ролях -  Патрик Суэйзи, Деми Мур, Вупи Голдберг, Тони Голдуин, Рик ...
   Влюблённая пара Сэм и Молли возвращается домой после приятного вечера, когда на них нападает грабитель. Защищаясь, Сэм погибает и становится призраком. Он узнаёт, что его смерть не была случайной, а над его
"
112,Мумия (1999),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, приключения, боевик ...
 Страна -  США, Великобритания, Марокко 
 В ролях -  Брендан Фрейзер, Рэйчел Вайс, Джон Ханна, Арнольд Вослу, ...
   На бескрайних просторах египетской пустыни компания сорвиголов разных национальностей рыщет в поисках несметных сокровищ фараона, над которыми тяготеет жуткое древнее проклятие. Рядом с кладом покоится мумия
"
113,Зодиак (2007),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, детектив, драма, криминал ...
 Страна -  США 
 В ролях -  Джейк Джилленхол, Марк Руффало, Энтони Эдвардс, Роберт ...
   На протяжении более 10 лет он держал в страхе весь Сан-Франциско. Общаясь с властями через репортёров, он в письмах жёстко упрекал полицию в бездействии. Зодиак то пропадал на время, то появлялся вновь. Порой
"
114,Майор Пэйн (1995),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, приключения ...
 Страна -  США 
 В ролях -  Дэймон Уайанс, Майкл Айронсайд, Бам Бам Бигелоу, Йода ...
   Майору никак не присвоят звание полковника по одной причине - он умеет только убивать, ни на что другое он просто не способен. Его отправляют в отставку. Работа в полиции ему не подходит, и наш герой умирает
"
115,Лицо со шрамом (1983),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, криминал ...
 Страна -  США 
 В ролях -  Аль Пачино, Стивен Бауэр, Мишель Пфайффер, Мэри Элизабет ...
   Весной 1980 года был открыт порт Мэйриэл Харбор, и тысячи кубинских беженцев ринулись в Соединенные Штаты на поиски Американской Мечты. Один из них нашел ее на залитых солнцем улицах Майами. Богатство, власть
"
116,Чужие (1986),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  ужасы, фантастика, боевик, триллер, приключения ...
 Страна -  Великобритания, США 
 В ролях -  Сигурни Уивер, Майкл Бин, Кэрри Хенн, Пол Райзер, Лэнс ...
   Чужой – совершенный организм. Идеальная машина для убийства, чье физическое превосходство сочетается с его феноменальной жаждой уничтожения. Офицер Элен Рипли и команда космического корабля Ностромо один раз
"
117,Интервью с вампиром (1994),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, ужасы, фэнтези ...
 Страна -  США 
 В ролях -  Том Круз, Брэд Питт, Стивен Ри, Антонио Бандерас, Кристиан ...
   К падкому на сенсации журналисту приходит вампир, чтобы поведать историю своей жизни. Все началось в 1791 году, когда молодой плантатор Луи, потеряв жену и ребенка, захотел умереть, но «родился для мрака» и
"
